"district","grade","subject","adv_per_14","ni_per_14","pro_per_14","total_perf_14","wf_per_14"
"Shrewsbury","03","m",56,9,30,457,5
"Shrewsbury","04","e",39,17,41,485,3
"Shrewsbury","04","m",47,16,34,486,3
"Shrewsbury","05","e",35,16,46,469,3
"Shrewsbury","05","m",51,14,30,468,5
"Shrewsbury","05","s",31,23,41,467,4
"Shrewsbury","06","e",37,11,50,517,3
"Shrewsbury","06","m",54,13,27,516,6
"Shrewsbury","07","e",24,9,64,493,3
"Shrewsbury","07","m",26,19,43,492,11
"Shrewsbury","08","e",33,6,59,478,3
"Shrewsbury","08","m",35,19,38,476,8
"Shrewsbury","08","s",14,26,55,477,5
"Shrewsbury","10","e",70,2,27,404,1
"Shrewsbury","10","m",81,3,14,404,1
"Shrewsbury","10","s",50,10,39,385,1
"Shrewsbury","AL","e",37,11,49,3302,3
"Shrewsbury","AL","m",49,14,31,3299,6
"Shrewsbury","AL","s",30,20,45,1329,4
"Shutesbury","03","e",13,40,40,15,7
"Shutesbury","03","m",13,27,47,15,13
"Shutesbury","04","e",14,23,45,22,18
"Shutesbury","04","m",23,36,27,22,14
"Shutesbury","05","e",11,11,74,27,4
"Shutesbury","05","m",31,31,23,26,15
"Shutesbury","05","s",23,27,42,26,8
"Shutesbury","06","e",29,18,53,17,0
"Shutesbury","06","m",29,29,35,17,6
"Shutesbury","AL","e",16,21,56,81,7
"Shutesbury","AL","m",25,31,31,80,13
"Shutesbury","AL","s",23,27,42,26,8
"Silver Hill Horace Mann Charter (District)","03","e",18,25,48,106,8
"Silver Hill Horace Mann Charter (District)","03","m",35,13,42,106,9
"Silver Hill Horace Mann Charter (District)","04","e",9,36,43,103,13
"Silver Hill Horace Mann Charter (District)","04","m",18,41,25,103,16
"Silver Hill Horace Mann Charter (District)","05","e",9,27,48,100,16
"Silver Hill Horace Mann Charter (District)","05","m",19,29,32,101,21
"Silver Hill Horace Mann Charter (District)","05","s",11,34,37,101,19
"Silver Hill Horace Mann Charter (District)","AL","e",12,29,46,309,12
"Silver Hill Horace Mann Charter (District)","AL","m",24,27,33,310,15
"Silver Hill Horace Mann Charter (District)","AL","s",11,34,37,101,19
"Silver Lake","07","e",16,13,69,289,2
"Silver Lake","07","m",26,25,38,289,11
"Silver Lake","08","e",21,6,69,331,4
"Silver Lake","08","m",16,31,41,332,13
"Silver Lake","08","s",3,41,47,332,9
"Silver Lake","10","e",43,4,53,297,0
"Silver Lake","10","m",56,10,32,299,2
"Silver Lake","10","s",27,30,42,288,1
"Silver Lake","AL","e",27,8,64,917,2
"Silver Lake","AL","m",32,22,37,920,8
"Silver Lake","AL","s",14,36,45,620,5
"Smith Leadership Academy Charter Public (District)","06","e",5,30,59,73,5
"Smith Leadership Academy Charter Public (District)","06","m",11,34,38,73,16
"Smith Leadership Academy Charter Public (District)","07","e",1,29,66,76,4
"Smith Leadership Academy Charter Public (District)","07","m",0,44,25,77,31
"Smith Leadership Academy Charter Public (District)","08","e",1,14,78,74,7
"Smith Leadership Academy Charter Public (District)","08","m",4,54,34,74,8
"Smith Leadership Academy Charter Public (District)","08","s",0,64,12,74,24
"Smith Leadership Academy Charter Public (District)","AL","e",3,24,68,223,5
"Smith Leadership Academy Charter Public (District)","AL","m",5,44,32,224,19
"Smith Leadership Academy Charter Public (District)","AL","s",0,64,12,74,24
"Somerset","03","e",11,30,53,206,6
"Somerset","03","m",27,25,37,209,11
"Somerset","04","e",17,23,53,191,7
"Somerset","04","m",20,32,39,192,9
"Somerset","05","e",20,23,51,196,6
"Somerset","05","m",30,29,32,196,9
"Somerset","05","s",17,38,37,196,9
"Somerset","06","e",9,31,54,213,6
"Somerset","06","m",24,34,31,215,11
"Somerset","07","e",10,18,69,216,4
"Somerset","07","m",16,29,41,217,14
"Somerset","08","e",8,8,78,193,6
"Somerset","08","m",29,24,36,193,11
"Somerset","08","s",4,36,51,192,9
"Somerset","AL","e",12,22,60,1215,6
"Somerset","AL","m",24,29,36,1222,11
"Somerset","AL","s",11,37,44,388,9
"Somerset Berkley Regional School District","10","e",45,3,52,231,0
"Somerset Berkley Regional School District","10","m",62,9,27,234,3
"Somerset Berkley Regional School District","10","s",22,23,54,213,1
"Somerset Berkley Regional School District","AL","e",45,3,52,231,0
"Somerset Berkley Regional School District","AL","m",62,9,27,234,3
"Somerset Berkley Regional School District","AL","s",22,23,54,213,1
"Somerville","03","e",16,36,32,333,16
"Somerville","03","m",24,29,24,331,22
"Somerville","04","e",10,31,32,355,26
"Somerville","04","m",18,36,25,355,21
"Somerville","05","e",16,27,40,345,18
"Somerville","05","m",27,25,24,344,24
"Somerville","05","s",14,37,28,345,20
"Somerville","06","e",10,32,46,336,12
"Somerville","06","m",21,33,23,337,23
"Somerville","07","e",9,27,55,324,9
"Somerville","07","m",11,31,27,323,31
"Somerville","08","e",11,17,62,249,10
"Somerville","08","m",15,24,30,251,30
"Somerville","08","s",5,37,33,252,25
"Somerville","10","e",36,14,45,291,4
"Somerville","10","m",39,23,29,292,9
"Somerville","10","s",29,28,38,276,5
"Somerville","AL","e",15,27,44,2233,14
"Somerville","AL","m",22,29,26,2233,23
"Somerville","AL","s",16,34,33,873,17
"South Hadley","03","e",8,32,55,144,5
"South Hadley","03","m",43,11,40,143,6
"South Hadley","04","e",17,22,52,128,9
"South Hadley","04","m",32,35,30,129,3
"South Hadley","05","e",16,30,47,146,7
"South Hadley","05","m",30,21,34,145,14
"South Hadley","05","s",19,35,37,145,10
"South Hadley","06","e",25,18,47,157,10
"South Hadley","06","m",37,19,30,156,13
"South Hadley","07","e",10,27,63,150,0
"South Hadley","07","m",21,31,32,150,17
"South Hadley","08","e",10,7,76,139,7
"South Hadley","08","m",12,37,35,141,16
"South Hadley","08","s",5,43,37,141,15
"South Hadley","10","e",40,8,51,144,1
"South Hadley","10","m",52,10,30,145,8
"South Hadley","10","s",23,22,53,140,2
"South Hadley","AL","e",18,21,56,1008,6
"South Hadley","AL","m",32,23,33,1009,11
"South Hadley","AL","s",15,34,42,426,9
"South Middlesex Regional Vocational Technical","10","e",12,16,65,197,6
"South Middlesex Regional Vocational Technical","10","m",17,32,38,198,13
"South Middlesex Regional Vocational Technical","10","s",8,43,41,167,8
"South Middlesex Regional Vocational Technical","AL","e",12,16,65,197,6
"South Middlesex Regional Vocational Technical","AL","m",17,32,38,198,13
"South Middlesex Regional Vocational Technical","AL","s",8,43,41,167,8
"South Shore Charter Public (District)","03","e",7,30,59,44,5
"South Shore Charter Public (District)","04","e",25,30,41,44,5
"South Shore Charter Public (District)","04","m",11,36,41,44,11
"South Shore Charter Public (District)","05","e",26,19,53,43,2
"South Shore Charter Public (District)","05","m",21,12,60,43,7
"South Shore Charter Public (District)","05","s",23,33,33,43,12
"South Shore Charter Public (District)","06","e",13,22,64,45,0
"South Shore Charter Public (District)","06","m",29,20,49,45,2
"South Shore Charter Public (District)","07","e",9,9,81,43,0
"South Shore Charter Public (District)","07","m",20,32,39,44,9
"South Shore Charter Public (District)","08","e",12,9,77,43,2
"South Shore Charter Public (District)","08","m",16,35,40,43,9
"South Shore Charter Public (District)","08","s",2,42,53,43,2
"South Shore Charter Public (District)","10","e",40,2,57,42,0
"South Shore Charter Public (District)","10","m",52,12,36,42,0
"South Shore Charter Public (District)","10","s",7,43,48,42,2
"South Shore Charter Public (District)","AL","e",19,17,62,304,2
"South Shore Charter Public (District)","AL","m",25,25,44,261,7
"South Shore Charter Public (District)","AL","s",11,39,45,128,5
"South Shore Regional Vocational Technical","10","e",21,8,71,149,0
"South Shore Regional Vocational Technical","10","m",38,17,43,150,2
"South Shore Regional Vocational Technical","10","s",24,14,58,139,4
"South Shore Regional Vocational Technical","AL","e",21,8,71,149,0
"South Shore Regional Vocational Technical","AL","m",38,17,43,150,2
"South Shore Regional Vocational Technical","AL","s",24,14,58,139,4
"Southampton","03","e",18,23,56,66,3
"Southampton","03","m",35,20,39,66,6
"Southampton","04","e",16,21,58,80,5
"Southampton","04","m",13,50,34,80,4
"Southampton","05","e",20,24,47,76,9
"Southampton","05","m",18,29,37,76,16
"Southampton","05","s",22,32,38,76,8
"Southampton","06","e",10,16,70,80,4
"Southampton","06","m",26,25,36,81,14
"Southampton","AL","e",16,21,58,302,5
"Southampton","AL","m",22,31,36,303,10
"Southampton","AL","s",22,32,38,76,8
"Southborough","03","e",26,14,56,133,5
"Southborough","03","m",68,6,22,133,4
"Southborough","04","e",22,22,54,170,1
"Southborough","04","m",44,19,35,170,2
"Southborough","05","e",31,8,56,153,4
"Southborough","05","m",35,22,38,153,5
"Southborough","05","s",34,18,44,153,5
"Southborough","06","e",24,10,65,161,1
"Southborough","06","m",47,16,31,160,7
"Southborough","07","e",25,6,69,173,0
"Southborough","07","m",30,18,43,174,9
"Southborough","08","e",18,8,73,187,1
"Southborough","08","m",34,24,38,185,4
"Southborough","08","s",7,39,50,185,3
"Southborough","10","e",NA,NA,NA,2,NA
"Southborough","10","m",NA,NA,NA,2,NA
"Southborough","10","s",0,50,50,2,0
"Southborough","AL","e",24,11,63,979,2
"Southborough","AL","m",42,18,35,977,5
"Southborough","AL","s",19,30,47,340,4
"Southbridge","03","e",7,42,35,162,17
"Southbridge","03","m",20,23,41,164,16
"Southbridge","04","e",8,38,25,171,30
"Southbridge","04","m",16,37,19,172,28
"Southbridge","05","e",8,36,30,170,26
"Southbridge","05","m",19,32,20,171,29
"Southbridge","05","s",7,38,18,168,38
"Southbridge","06","e",7,35,32,176,26
"Southbridge","06","m",12,26,19,177,43
"Southbridge","07","e",2,38,31,173,30
"Southbridge","07","m",7,25,16,173,51
"Southbridge","08","e",3,21,46,201,30
"Southbridge","08","m",3,25,14,199,59
"Southbridge","08","s",2,42,12,194,44
"Southbridge","10","e",24,15,52,141,9
"Southbridge","10","m",22,34,23,147,21
"Southbridge","10","s",8,28,43,120,22
"Southbridge","AL","e",8,32,36,1194,25
"Southbridge","AL","m",14,29,21,1203,36
"Southbridge","AL","s",5,37,22,482,36
"Southeastern Regional Vocational Technical","10","e",18,8,72,319,1
"Southeastern Regional Vocational Technical","10","m",38,23,35,319,4
"Southeastern Regional Vocational Technical","10","s",12,35,47,313,6
"Southeastern Regional Vocational Technical","AL","e",18,8,72,319,1
"Southeastern Regional Vocational Technical","AL","m",38,23,35,319,4
"Southeastern Regional Vocational Technical","AL","s",12,35,47,313,6
"Southern Berkshire","03","e",13,40,43,63,5
"Southern Berkshire","03","m",12,46,22,65,20
"Southern Berkshire","04","e",17,26,45,53,11
"Southern Berkshire","04","m",26,35,31,54,7
"Southern Berkshire","05","e",17,23,47,47,13
"Southern Berkshire","05","m",13,36,32,47,19
"Southern Berkshire","05","s",32,26,38,47,4
"Southern Berkshire","06","e",11,20,66,56,4
"Southern Berkshire","06","m",21,29,34,56,16
"Southern Berkshire","07","e",8,23,64,53,6
"Southern Berkshire","07","m",15,26,26,53,32
"Southern Berkshire","08","e",19,7,74,54,0
"Southern Berkshire","08","m",17,26,41,54,17
"Southern Berkshire","08","s",0,48,48,54,4
"Southern Berkshire","10","e",61,0,39,61,0
"Southern Berkshire","10","m",66,10,25,61,0
"Southern Berkshire","10","s",33,13,53,60,0
"Southern Berkshire","AL","e",21,20,54,387,5
"Southern Berkshire","AL","m",25,30,30,390,16
"Southern Berkshire","AL","s",22,29,47,161,2
"Southern Worcester County Regional Vocational Tech","10","e",21,8,71,279,0
"Southern Worcester County Regional Vocational Tech","10","m",37,17,42,279,5
"Southern Worcester County Regional Vocational Tech","10","s",18,20,58,264,4
"Southern Worcester County Regional Vocational Tech","AL","e",21,8,71,279,0
"Southern Worcester County Regional Vocational Tech","AL","m",37,17,42,279,5
"Southern Worcester County Regional Vocational Tech","AL","s",18,20,58,264,4
"Southwick-Tolland-Granville Regional School District","03","e",10,29,51,115,10
"Southwick-Tolland-Granville Regional School District","03","m",26,14,50,116,10
"Southwick-Tolland-Granville Regional School District","04","e",13,43,36,122,7
"Southwick-Tolland-Granville Regional School District","04","m",16,43,34,125,6
"Southwick-Tolland-Granville Regional School District","05","e",11,32,49,123,9
"Southwick-Tolland-Granville Regional School District","05","m",20,36,34,122,10
"Southwick-Tolland-Granville Regional School District","05","s",11,43,41,122,6
"Southwick-Tolland-Granville Regional School District","06","e",12,26,55,140,7
"Southwick-Tolland-Granville Regional School District","06","m",15,22,41,140,21
"Southwick-Tolland-Granville Regional School District","07","e",6,30,59,140,5
"Southwick-Tolland-Granville Regional School District","07","m",8,40,26,139,26
"Southwick-Tolland-Granville Regional School District","08","e",12,13,72,155,4
"Southwick-Tolland-Granville Regional School District","08","m",6,42,29,154,22
"Southwick-Tolland-Granville Regional School District","08","s",0,45,46,153,8
"Southwick-Tolland-Granville Regional School District","10","e",40,7,52,163,1
"Southwick-Tolland-Granville Regional School District","10","m",59,12,27,162,2
"Southwick-Tolland-Granville Regional School District","10","s",25,15,57,155,3
"Southwick-Tolland-Granville Regional School District","AL","e",16,24,54,958,6
"Southwick-Tolland-Granville Regional School District","AL","m",22,30,34,958,14
"Southwick-Tolland-Granville Regional School District","AL","s",12,33,49,430,6
"Spencer-E Brookfield","03","e",10,32,48,156,10
"Spencer-E Brookfield","03","m",21,29,39,154,11
"Spencer-E Brookfield","04","e",4,40,45,124,10
"Spencer-E Brookfield","04","m",10,55,26,124,9
"Spencer-E Brookfield","05","e",12,38,42,128,8
"Spencer-E Brookfield","05","m",22,27,31,129,19
"Spencer-E Brookfield","05","s",9,45,36,129,10
"Spencer-E Brookfield","06","e",9,25,55,129,11
"Spencer-E Brookfield","06","m",21,33,34,128,12
"Spencer-E Brookfield","07","e",1,35,59,147,5
"Spencer-E Brookfield","07","m",8,42,20,147,29
"Spencer-E Brookfield","08","e",11,17,65,139,7
"Spencer-E Brookfield","08","m",9,41,27,139,24
"Spencer-E Brookfield","08","s",3,43,35,139,19
"Spencer-E Brookfield","10","e",29,5,65,96,1
"Spencer-E Brookfield","10","m",45,23,28,97,4
"Spencer-E Brookfield","10","s",23,29,41,80,8
"Spencer-E Brookfield","AL","e",10,28,54,919,8
"Spencer-E Brookfield","AL","m",18,36,29,918,16
"Spencer-E Brookfield","AL","s",10,41,37,348,13
"Springfield","03","e",5,44,33,1939,19
"Springfield","03","m",19,26,37,1933,18
"Springfield","04","e",3,45,27,1872,25
"Springfield","04","m",10,44,26,1870,20
"Springfield","05","e",6,38,37,1777,20
"Springfield","05","m",15,31,26,1775,27
"Springfield","05","s",8,46,25,1772,22
"Springfield","06","e",3,39,31,1680,28
"Springfield","06","m",10,34,19,1676,36
"Springfield","07","e",1,40,35,1812,25
"Springfield","07","m",2,22,10,1834,66
"Springfield","08","e",3,28,43,1876,26
"Springfield","08","m",3,30,12,1871,54
"Springfield","08","s",0,35,8,1862,56
"Springfield","10","e",12,21,59,1477,8
"Springfield","10","m",18,33,25,1468,24
"Springfield","10","s",4,57,21,1295,18
"Springfield","AL","e",4,37,37,12433,22
"Springfield","AL","m",11,31,22,12427,35
"Springfield","AL","s",4,45,18,4929,34
"State Results","03","e",12,33,46,68283,10
"State Results","03","m",31,21,38,68218,11
"State Results","04","e",13,33,41,68980,13
"State Results","04","m",20,36,32,69499,12
"State Results","05","e",18,26,46,69826,10
"State Results","05","m",30,24,30,69839,15
"State Results","05","s",20,34,33,70994,13
"State Results","06","e",16,23,52,69579,9
"State Results","06","m",29,25,31,69851,15
"State Results","07","e",11,21,61,70612,7
"State Results","07","m",17,26,33,70978,24
"State Results","08","e",14,14,65,70999,8
"State Results","08","m",19,29,33,71296,19
"State Results","08","s",4,41,38,71951,18
"State Results","10","e",41,8,48,70465,3
"State Results","10","m",53,15,25,70607,7
"State Results","10","s",29,24,42,68495,5
"State Results","AL","e",18,22,51,488744,8
"State Results","AL","m",28,25,32,490288,15
"State Results","AL","s",17,33,38,211440,12
"Stoneham","03","e",10,29,51,164,10
"Stoneham","03","m",27,22,42,165,8
"Stoneham","04","e",6,42,41,162,11
"Stoneham","04","m",17,40,34,162,9
"Stoneham","05","e",19,25,50,193,6
"Stoneham","05","m",29,25,34,194,12
"Stoneham","05","s",18,39,35,194,9
"Stoneham","06","e",16,18,61,204,6
"Stoneham","06","m",24,28,38,204,11
"Stoneham","07","e",15,16,66,186,4
"Stoneham","07","m",12,30,38,187,19
"Stoneham","08","e",24,7,67,184,3
"Stoneham","08","m",36,20,36,184,8
"Stoneham","08","s",10,32,51,183,8
"Stoneham","10","e",59,2,36,151,3
"Stoneham","10","m",54,16,25,151,5
"Stoneham","10","s",32,18,46,142,4
"Stoneham","AL","e",20,20,54,1244,6
"Stoneham","AL","m",28,26,36,1247,10
"Stoneham","AL","s",19,31,43,519,7
"Stoughton","03","e",12,30,51,257,6
"Stoughton","03","m",33,19,37,257,12
"Stoughton","04","e",21,31,40,253,9
"Stoughton","04","m",18,40,31,213,12
"Stoughton","05","e",22,25,47,284,6
"Stoughton","05","m",25,25,34,284,17
"Stoughton","05","s",18,32,36,284,14
"Stoughton","06","e",16,20,55,313,9
"Stoughton","06","m",17,31,33,315,19
"Stoughton","07","e",11,18,66,322,4
"Stoughton","07","m",15,29,37,321,19
"Stoughton","08","e",11,14,69,294,6
"Stoughton","08","m",17,28,38,292,16
"Stoughton","08","s",4,42,40,292,14
"Stoughton","10","e",43,4,52,257,1
"Stoughton","10","m",51,15,29,259,5
"Stoughton","10","s",39,13,45,231,2
"Stoughton","AL","e",19,20,55,1980,6
"Stoughton","AL","m",24,27,34,1941,15
"Stoughton","AL","s",19,30,40,807,11
"Sturbridge","03","e",13,28,51,127,8
"Sturbridge","03","m",42,19,34,127,6
"Sturbridge","04","e",6,31,56,144,8
"Sturbridge","04","m",19,32,42,144,6
"Sturbridge","05","e",18,20,58,129,4
"Sturbridge","05","m",40,22,33,129,5
"Sturbridge","05","s",34,22,41,129,2
"Sturbridge","06","e",27,14,56,126,2
"Sturbridge","06","m",40,16,41,126,3
"Sturbridge","AL","e",15,24,55,526,6
"Sturbridge","AL","m",35,22,38,526,5
"Sturbridge","AL","s",34,22,41,129,2
"Sturgis Charter Public (District)","10","e",74,0,26,209,0
"Sturgis Charter Public (District)","10","m",86,2,12,209,0
"Sturgis Charter Public (District)","10","s",58,3,39,199,0
"Sturgis Charter Public (District)","AL","e",74,0,26,209,0
"Sturgis Charter Public (District)","AL","m",86,2,12,209,0
"Sturgis Charter Public (District)","AL","s",58,3,39,199,0
"Sudbury","03","e",18,20,58,325,3
"Sudbury","03","m",47,12,37,325,4
"Sudbury","04","e",29,16,53,331,2
"Sudbury","04","m",41,14,43,330,2
"Sudbury","05","e",35,12,51,341,2
"Sudbury","05","m",58,10,29,342,4
"Sudbury","05","s",45,15,36,341,4
"Sudbury","06","e",29,10,59,333,2
"Sudbury","06","m",41,20,34,332,5
"Sudbury","07","e",25,9,64,362,2
"Sudbury","07","m",33,18,41,365,8
"Sudbury","08","e",28,5,65,333,2
"Sudbury","08","m",41,15,37,332,7
"Sudbury","08","s",14,21,59,331,5
"Sudbury","AL","e",27,12,58,2025,2
"Sudbury","AL","m",43,15,37,2026,5
"Sudbury","AL","s",30,18,47,672,4
"Sunderland","03","e",6,29,50,34,15
"Sunderland","03","m",21,21,47,34,12
"Sunderland","04","e",18,32,45,22,5
"Sunderland","04","m",27,23,45,22,5
"Sunderland","05","e",26,15,56,27,4
"Sunderland","05","m",41,11,44,27,4
"Sunderland","05","s",33,11,52,27,4
"Sunderland","06","e",40,7,53,15,0
"Sunderland","06","m",56,13,25,16,6
"Sunderland","AL","e",19,22,51,98,7
"Sunderland","AL","m",33,17,42,99,7
"Sunderland","AL","s",33,11,52,27,4
"Sutton","03","e",7,32,56,131,5
"Sutton","03","m",28,23,47,131,2
"Sutton","04","e",7,36,46,122,11
"Sutton","04","m",17,41,33,123,9
"Sutton","05","e",11,26,54,123,9
"Sutton","05","m",25,26,41,122,8
"Sutton","05","s",12,41,42,123,5
"Sutton","06","e",23,18,56,122,3
"Sutton","06","m",31,19,35,122,15
"Sutton","07","e",15,9,69,158,6
"Sutton","07","m",16,26,45,158,13
"Sutton","08","e",10,16,66,146,8
"Sutton","08","m",6,34,38,146,22
"Sutton","08","s",1,47,40,146,12
"Sutton","10","e",55,7,38,110,0
"Sutton","10","m",62,12,24,110,3
"Sutton","10","s",29,27,44,103,0
"Sutton","AL","e",17,20,56,912,6
"Sutton","AL","m",25,26,38,912,11
"Sutton","AL","s",13,40,42,372,6
"Swampscott","03","e",16,16,66,166,2
"Swampscott","03","m",55,8,36,165,2
"Swampscott","04","e",12,32,53,193,3
"Swampscott","04","m",26,28,42,193,3
"Swampscott","05","e",24,22,47,174,7
"Swampscott","05","m",33,22,32,173,13
"Swampscott","05","s",23,31,40,173,6
"Swampscott","06","e",21,14,62,149,3
"Swampscott","06","m",26,26,40,149,9
"Swampscott","07","e",19,7,72,200,3
"Swampscott","07","m",30,16,45,200,10
"Swampscott","08","e",23,8,68,176,1
"Swampscott","08","m",20,32,40,176,7
"Swampscott","08","s",9,33,52,176,6
"Swampscott","10","e",54,8,38,181,1
"Swampscott","10","m",61,11,25,179,3
"Swampscott","10","s",40,13,47,167,1
"Swampscott","AL","e",24,15,58,1239,3
"Swampscott","AL","m",36,20,37,1235,6
"Swampscott","AL","s",24,26,46,516,4
"Swansea","03","e",7,32,52,147,8
"Swansea","03","m",24,26,36,148,14
"Swansea","04","e",15,27,49,171,9
"Swansea","04","m",20,34,35,171,11
"Swansea","05","e",13,27,55,165,4
"Swansea","05","m",32,31,31,165,7
"Swansea","05","s",24,32,39,165,4
"Swansea","06","e",12,28,51,169,8
"Swansea","06","m",18,32,39,171,12
"Swansea","07","e",12,26,52,179,9
"Swansea","07","m",18,30,28,181,24
"Swansea","08","e",10,9,73,160,8
"Swansea","08","m",19,26,40,161,15
"Swansea","08","s",2,40,49,162,9
"Swansea","10","e",43,11,45,141,2
"Swansea","10","m",54,19,21,140,6
"Swansea","10","s",22,28,47,129,2
"Swansea","AL","e",16,23,54,1132,7
"Swansea","AL","m",26,28,33,1137,13
"Swansea","AL","s",16,34,45,456,5
"Tantasqua","07","e",7,15,74,264,4
"Tantasqua","07","m",15,32,39,266,14
"Tantasqua","08","e",10,14,73,292,3
"Tantasqua","08","m",21,25,38,292,17
"Tantasqua","08","s",0,42,46,291,12
"Tantasqua","10","e",38,8,51,307,2
"Tantasqua","10","m",50,17,28,309,5
"Tantasqua","10","s",31,29,38,295,2
"Tantasqua","AL","e",19,12,66,863,3
"Tantasqua","AL","m",30,24,35,867,12
"Tantasqua","AL","s",16,35,42,586,7
"Taunton","03","e",10,36,44,504,11
"Taunton","03","m",25,24,39,502,13
"Taunton","04","e",6,35,41,551,17
"Taunton","04","m",12,40,31,553,18
"Taunton","05","e",11,33,44,485,12
"Taunton","05","m",20,32,26,487,22
"Taunton","05","s",10,44,28,632,18
"Taunton","06","e",12,28,49,498,10
"Taunton","06","m",20,34,24,498,21
"Taunton","07","e",7,26,60,482,7
"Taunton","07","m",11,28,33,482,28
"Taunton","08","e",9,19,62,606,10
"Taunton","08","m",12,32,24,609,33
"Taunton","08","s",1,44,32,608,23
"Taunton","10","e",35,10,51,457,4
"Taunton","10","m",42,19,29,454,9
"Taunton","10","s",25,36,32,411,7
"Taunton","AL","e",13,27,50,3583,10
"Taunton","AL","m",20,30,29,3585,21
"Taunton","AL","s",11,42,30,1651,17
"Tewksbury","03","e",12,27,52,277,8
"Tewksbury","03","m",28,23,41,275,8
"Tewksbury","04","e",10,35,47,314,9
"Tewksbury","04","m",20,34,39,313,7
"Tewksbury","05","e",20,24,48,291,8
"Tewksbury","05","m",31,23,35,292,12
"Tewksbury","05","s",20,30,38,292,12
"Tewksbury","06","e",15,17,62,322,6
"Tewksbury","06","m",29,25,36,320,10
"Tewksbury","07","e",10,18,67,335,5
"Tewksbury","07","m",20,27,32,336,21
"Tewksbury","08","e",17,10,67,360,6
"Tewksbury","08","m",17,30,38,362,15
"Tewksbury","08","s",1,45,38,362,16
"Tewksbury","10","e",43,3,53,248,2
"Tewksbury","10","m",65,7,24,249,4
"Tewksbury","10","s",30,16,51,233,3
"Tewksbury","AL","e",17,19,57,2147,6
"Tewksbury","AL","m",29,25,35,2147,12
"Tewksbury","AL","s",15,33,41,887,11
"Tisbury","03","e",13,21,63,38,3
"Tisbury","03","m",68,11,19,37,3
"Tisbury","04","e",54,11,34,35,0
"Tisbury","04","m",40,17,43,35,0
"Tisbury","05","e",31,26,43,35,0
"Tisbury","05","m",37,23,37,35,3
"Tisbury","05","s",29,31,37,35,3
"Tisbury","06","e",34,9,51,35,6
"Tisbury","06","m",29,17,51,35,3
"Tisbury","07","m",21,15,58,33,6
"Tisbury","08","m",31,28,31,32,9
"Tisbury","08","s",3,39,48,31,10
"Tisbury","AL","e",33,17,48,143,2
"Tisbury","AL","m",38,18,40,207,4
"Tisbury","AL","s",17,35,42,66,6
"Topsfield","03","e",27,20,49,85,4
"Topsfield","03","m",30,17,48,86,5
"Topsfield","04","e",19,22,55,94,3
"Topsfield","04","m",38,22,35,94,4
"Topsfield","05","e",32,12,56,91,0
"Topsfield","05","m",41,18,37,92,3
"Topsfield","05","s",17,37,43,92,2
"Topsfield","06","e",17,12,69,83,2
"Topsfield","06","m",45,16,34,83,6
"Topsfield","AL","e",24,17,57,353,2
"Topsfield","AL","m",39,19,38,355,5
"Topsfield","AL","s",17,37,43,92,2
"Tri County Regional Vocational Technical","10","e",26,6,68,246,0
"Tri County Regional Vocational Technical","10","m",46,10,41,246,2
"Tri County Regional Vocational Technical","10","s",15,16,65,228,3
"Tri County Regional Vocational Technical","AL","e",26,6,68,246,0
"Tri County Regional Vocational Technical","AL","m",46,10,41,246,2
"Tri County Regional Vocational Technical","AL","s",15,16,65,228,3
"Triton","03","e",14,28,48,231,10
"Triton","03","m",27,19,47,230,7
"Triton","04","e",14,31,49,211,6
"Triton","04","m",23,37,36,208,4
"Triton","05","e",14,21,58,214,7
"Triton","05","m",30,23,39,214,8
"Triton","05","s",24,27,42,214,7
"Triton","06","e",23,13,59,251,5
"Triton","06","m",32,20,41,253,8
"Triton","07","e",10,17,67,229,6
"Triton","07","m",15,28,38,226,19
"Triton","08","e",16,13,65,213,5
"Triton","08","m",26,24,37,213,13
"Triton","08","s",4,33,50,213,14
"Triton","10","e",54,3,41,175,2
"Triton","10","m",66,9,22,176,3
"Triton","10","s",27,16,54,161,3
"Triton","AL","e",20,18,56,1524,6
"Triton","AL","m",30,23,38,1520,9
"Triton","AL","s",18,26,48,588,9
"Truro","03","e",0,35,59,17,6
"Truro","03","m",35,6,53,17,6
"Truro","04","e",19,19,56,16,6
"Truro","04","m",19,44,38,16,0
"Truro","05","e",NA,NA,NA,1,NA
"Truro","05","m",14,50,18,22,18
"Truro","05","s",14,45,32,22,9
"Truro","06","e",13,33,47,15,7
"Truro","06","m",25,13,50,16,13
"Truro","AL","e",10,29,53,49,8
"Truro","AL","m",23,30,38,71,10
"Truro","AL","s",14,45,32,22,9
"Tyngsborough","03","e",10,34,51,146,5
"Tyngsborough","03","m",32,15,43,146,10
"Tyngsborough","04","e",13,27,51,150,8
"Tyngsborough","04","m",18,38,35,151,9
"Tyngsborough","05","e",18,18,56,126,7
"Tyngsborough","05","m",25,21,39,127,14
"Tyngsborough","05","s",16,44,32,127,8
"Tyngsborough","06","e",13,16,66,157,6
"Tyngsborough","06","m",26,25,38,157,11
"Tyngsborough","07","e",11,9,77,149,3
"Tyngsborough","07","m",19,26,46,149,10
"Tyngsborough","08","e",12,8,74,160,6
"Tyngsborough","08","m",16,35,35,158,13
"Tyngsborough","08","s",4,43,42,159,11
"Tyngsborough","10","e",41,3,52,138,4
"Tyngsborough","10","m",55,7,32,137,6
"Tyngsborough","10","s",44,13,40,131,4
"Tyngsborough","AL","e",17,16,61,1026,6
