"district","grade","subject","adv_per_14","ni_per_14","pro_per_14","total_perf_14","wf_per_14"
"Athol-Royalston","AL","e",4,36,43,766,16
"Athol-Royalston","AL","m",10,37,25,762,28
"Athol-Royalston","AL","s",9,43,29,326,19
"Atlantis Charter (District)","03","e",10,35,49,72,7
"Atlantis Charter (District)","03","m",34,14,48,71,4
"Atlantis Charter (District)","04","e",3,45,42,71,10
"Atlantis Charter (District)","04","m",16,44,34,70,6
"Atlantis Charter (District)","05","e",4,29,62,100,5
"Atlantis Charter (District)","05","m",24,29,37,100,10
"Atlantis Charter (District)","05","s",14,39,41,99,5
"Atlantis Charter (District)","06","e",5,29,64,99,2
"Atlantis Charter (District)","06","m",21,23,45,99,10
"Atlantis Charter (District)","07","e",2,27,70,96,1
"Atlantis Charter (District)","07","m",9,29,41,96,21
"Atlantis Charter (District)","08","e",4,17,76,89,2
"Atlantis Charter (District)","08","m",23,26,48,88,3
"Atlantis Charter (District)","08","s",1,61,31,87,7
"Atlantis Charter (District)","AL","e",5,30,62,527,4
"Atlantis Charter (District)","AL","m",21,27,42,524,10
"Atlantis Charter (District)","AL","s",8,49,37,186,6
"Attleboro","03","e",15,30,44,410,10
"Attleboro","03","m",36,17,39,408,9
"Attleboro","04","e",26,23,42,464,9
"Attleboro","04","m",27,25,38,463,9
"Attleboro","05","e",19,30,43,438,9
"Attleboro","05","m",34,21,31,438,13
"Attleboro","05","s",12,41,35,438,12
"Attleboro","06","e",14,22,54,449,10
"Attleboro","06","m",30,23,34,450,12
"Attleboro","07","e",14,17,64,434,6
"Attleboro","07","m",20,25,38,432,17
"Attleboro","08","e",10,13,70,450,6
"Attleboro","08","m",23,27,37,448,14
"Attleboro","08","s",3,44,42,447,11
"Attleboro","10","e",39,6,53,443,2
"Attleboro","10","m",54,13,26,442,7
"Attleboro","10","s",17,31,47,415,4
"Attleboro","AL","e",20,20,53,3088,7
"Attleboro","AL","m",32,22,35,3081,12
"Attleboro","AL","s",11,39,41,1300,9
"Auburn","03","e",20,26,50,186,4
"Auburn","03","m",50,10,36,185,4
"Auburn","04","e",19,34,41,187,6
"Auburn","04","m",25,39,30,187,6
"Auburn","05","e",23,19,54,181,4
"Auburn","05","m",38,13,41,180,8
"Auburn","05","s",21,30,44,179,5
"Auburn","06","e",15,25,54,191,6
"Auburn","06","m",27,28,35,192,10
"Auburn","07","e",15,16,66,193,4
"Auburn","07","m",14,29,40,195,16
"Auburn","08","e",10,13,72,206,6
"Auburn","08","m",15,34,37,208,15
"Auburn","08","s",1,49,39,208,12
"Auburn","10","e",55,4,41,157,0
"Auburn","10","m",66,8,26,157,1
"Auburn","10","s",28,11,61,144,0
"Auburn","AL","e",21,20,55,1301,4
"Auburn","AL","m",32,23,35,1304,9
"Auburn","AL","s",15,32,47,531,6
"Avon","03","e",12,28,54,57,5
"Avon","03","m",42,12,40,57,5
"Avon","04","e",13,39,39,61,8
"Avon","04","m",25,38,27,60,10
"Avon","05","e",28,17,50,58,5
"Avon","05","m",48,14,33,58,5
"Avon","05","s",17,33,45,58,5
"Avon","06","e",22,24,52,63,2
"Avon","06","m",49,17,29,63,5
"Avon","07","e",10,28,52,60,10
"Avon","07","m",15,21,43,61,21
"Avon","08","e",18,8,71,65,3
"Avon","08","m",17,37,31,65,15
"Avon","08","s",2,60,25,65,14
"Avon","10","e",47,8,41,51,4
"Avon","10","m",39,24,31,51,6
"Avon","10","s",17,22,54,46,7
"Avon","AL","e",21,22,52,415,5
"Avon","AL","m",33,24,33,415,10
"Avon","AL","s",11,40,40,169,9
"Ayer Shirley School District","03","e",7,26,63,121,5
"Ayer Shirley School District","03","m",21,27,45,163,6
"Ayer Shirley School District","04","e",15,33,45,130,7
"Ayer Shirley School District","04","m",9,47,35,130,9
"Ayer Shirley School District","05","e",20,20,51,140,9
"Ayer Shirley School District","05","m",32,22,33,139,14
"Ayer Shirley School District","05","s",31,23,40,139,6
"Ayer Shirley School District","06","e",12,26,56,133,6
"Ayer Shirley School District","06","m",23,34,21,134,22
"Ayer Shirley School District","07","e",6,24,64,146,6
"Ayer Shirley School District","07","m",19,33,21,145,27
"Ayer Shirley School District","08","e",7,15,66,136,11
"Ayer Shirley School District","08","m",18,37,24,136,21
"Ayer Shirley School District","08","s",8,42,30,136,20
"Ayer Shirley School District","10","e",45,2,51,92,2
"Ayer Shirley School District","10","m",55,14,25,93,6
"Ayer Shirley School District","10","s",30,20,47,81,4
"Ayer Shirley School District","AL","e",15,22,57,898,7
"Ayer Shirley School District","AL","m",24,31,30,940,15
"Ayer Shirley School District","AL","s",22,29,38,356,11
"Barnstable","03","e",15,31,47,318,8
"Barnstable","03","m",35,20,37,318,8
"Barnstable","04","e",13,35,37,375,15
"Barnstable","04","m",14,40,32,380,14
"Barnstable","05","e",12,31,43,389,14
"Barnstable","05","m",23,26,30,393,21
"Barnstable","05","s",17,35,33,386,15
"Barnstable","06","e",14,20,56,337,10
"Barnstable","06","m",27,28,30,380,15
"Barnstable","07","e",12,18,64,344,6
"Barnstable","07","m",15,30,31,390,25
"Barnstable","08","e",9,14,71,399,6
"Barnstable","08","m",13,36,29,399,23
"Barnstable","08","s",5,41,42,398,12
"Barnstable","10","e",43,9,46,363,2
"Barnstable","10","m",48,15,27,363,9
"Barnstable","10","s",27,19,51,335,4
"Barnstable","AL","e",17,23,52,2525,9
"Barnstable","AL","m",24,28,31,2623,17
"Barnstable","AL","s",16,32,42,1119,10
"Barnstable Community Horace Mann Charter Public (District)","03","e",9,38,51,79,3
"Barnstable Community Horace Mann Charter Public (District)","03","m",36,18,43,77,3
"Barnstable Community Horace Mann Charter Public (District)","AL","e",9,38,51,79,3
"Barnstable Community Horace Mann Charter Public (District)","AL","m",36,18,43,77,3
"Baystate Academy Charter Public School (District)","06","e",5,34,47,79,14
"Baystate Academy Charter Public School (District)","06","m",5,46,15,78,33
"Baystate Academy Charter Public School (District)","07","e",0,46,47,81,7
"Baystate Academy Charter Public School (District)","07","m",2,22,7,81,68
"Baystate Academy Charter Public School (District)","AL","e",3,40,47,160,11
"Baystate Academy Charter Public School (District)","AL","m",4,34,11,159,51
"Bedford","03","e",17,25,54,169,4
"Bedford","03","m",60,7,29,171,4
"Bedford","04","e",27,19,49,203,5
"Bedford","04","m",42,21,33,203,4
"Bedford","05","e",30,17,47,156,6
"Bedford","05","m",41,13,35,157,11
"Bedford","05","s",27,34,32,157,6
"Bedford","06","e",27,12,58,182,3
"Bedford","06","m",35,19,35,181,10
"Bedford","07","e",15,15,69,185,2
"Bedford","07","m",28,21,41,186,10
"Bedford","08","e",24,7,65,202,3
"Bedford","08","m",31,22,38,203,9
"Bedford","08","s",4,34,50,203,12
"Bedford","10","e",64,1,33,210,1
"Bedford","10","m",72,5,20,208,3
"Bedford","10","s",37,9,52,194,2
"Bedford","AL","e",30,13,53,1307,4
"Bedford","AL","m",45,15,33,1309,7
"Bedford","AL","s",22,25,45,554,7
"Belchertown","03","e",8,40,45,191,7
"Belchertown","03","m",23,26,43,191,7
"Belchertown","04","e",8,27,52,176,13
"Belchertown","04","m",15,45,30,174,9
"Belchertown","05","e",16,30,47,192,8
"Belchertown","05","m",27,28,34,193,10
"Belchertown","05","s",17,32,44,193,8
"Belchertown","06","e",11,22,59,192,8
"Belchertown","06","m",26,27,38,192,10
"Belchertown","07","e",8,15,72,206,5
"Belchertown","07","m",15,27,43,206,16
"Belchertown","08","e",19,9,69,195,4
"Belchertown","08","m",15,31,38,196,16
"Belchertown","08","s",4,37,49,195,10
"Belchertown","10","e",54,3,41,191,2
"Belchertown","10","m",63,10,23,189,4
"Belchertown","10","s",43,9,44,181,3
"Belchertown","AL","e",18,21,55,1343,7
"Belchertown","AL","m",26,28,36,1341,10
"Belchertown","AL","s",21,26,46,569,7
"Bellingham","03","e",8,32,55,183,5
"Bellingham","03","m",30,21,45,183,5
"Bellingham","04","e",10,33,46,186,11
"Bellingham","04","m",18,34,38,186,10
"Bellingham","05","e",13,25,55,199,8
"Bellingham","05","m",24,28,32,200,17
"Bellingham","05","s",20,32,40,200,9
"Bellingham","06","e",15,25,55,198,5
"Bellingham","06","m",21,31,37,195,11
"Bellingham","07","e",10,23,62,176,5
"Bellingham","07","m",14,27,31,177,29
"Bellingham","08","e",10,14,72,162,4
"Bellingham","08","m",18,35,30,164,18
"Bellingham","08","s",2,47,38,164,13
"Bellingham","10","e",31,7,62,163,1
"Bellingham","10","m",55,14,26,167,4
"Bellingham","10","s",24,26,48,154,2
"Bellingham","AL","e",14,23,58,1267,6
"Bellingham","AL","m",25,27,34,1272,13
"Bellingham","AL","s",15,35,42,518,8
"Belmont","03","e",23,14,58,317,4
"Belmont","03","m",62,10,27,316,1
"Belmont","04","e",27,24,45,343,3
"Belmont","04","m",43,18,36,345,3
"Belmont","05","e",42,8,48,314,1
"Belmont","05","m",62,10,26,314,2
"Belmont","05","s",45,18,36,312,1
"Belmont","06","e",31,9,58,326,2
"Belmont","06","m",46,16,35,325,2
"Belmont","07","e",28,5,65,288,2
"Belmont","07","m",43,13,40,290,4
"Belmont","08","e",40,1,57,322,2
"Belmont","08","m",40,14,43,326,3
"Belmont","08","s",16,19,62,325,3
"Belmont","10","e",73,1,25,306,1
"Belmont","10","m",80,2,17,312,1
"Belmont","10","s",64,8,27,291,1
"Belmont","AL","e",38,9,51,2216,2
"Belmont","AL","m",54,12,32,2228,2
"Belmont","AL","s",41,15,42,928,2
"Benjamin Banneker Charter Public (District)","03","e",12,26,58,43,5
"Benjamin Banneker Charter Public (District)","03","m",30,16,49,43,5
"Benjamin Banneker Charter Public (District)","04","e",16,22,57,49,4
"Benjamin Banneker Charter Public (District)","04","m",28,42,20,50,10
"Benjamin Banneker Charter Public (District)","05","e",12,28,53,43,7
"Benjamin Banneker Charter Public (District)","05","m",16,40,33,43,12
"Benjamin Banneker Charter Public (District)","05","s",7,47,37,43,9
